name,year_of_release,genre,publisher,global_sales,console,developer
Wii Sports,2006,Sports,Nintendo,82.53,Wii,Nintendo
Super Mario Bros.,1985,Platform,Nintendo,40.24,NES,Unknown
Mario Kart Wii,2008,Racing,Nintendo,35.52,Wii,Nintendo
Wii Sports Resort,2009,Sports,Nintendo,32.77,Wii,Nintendo
Pokemon Red/Pokemon Blue,1996,Role-Playing,Nintendo,31.37,GB,Unknown
Tetris,1989,Puzzle,Nintendo,30.26,GB,Unknown
New Super Mario Bros.,2006,Platform,Nintendo,29.8,DS,Nintendo
Wii Play,2006,Other,Nintendo,28.92,Wii,Nintendo
New Super Mario Bros. Wii,2009,Platform,Nintendo,28.32,Wii,Nintendo
Duck Hunt,1984,Shooter,Nintendo,28.31,NES,Unknown
Nintendogs,2005,Simulation,Nintendo,24.67,DS,Unknown
Mario Kart DS,2005,Racing,Nintendo,23.21,DS,Nintendo
Pokemon Gold/Pokemon Silver,1999,Role-Playing,Nintendo,23.1,GB,Unknown
Wii Fit,2007,Sports,Nintendo,22.7,Wii,Nintendo
Kinect Adventures!,2010,Other,Microsoft Game Studios,21.81,X360,Good Science Studio
Wii Fit Plus,2009,Sports,Nintendo,21.79,Wii,Nintendo
Grand Theft Auto V,2013,Action-Adventure,Take-Two Interactive,21.04,PS3,Rockstar North
Grand Theft Auto: San Andreas,2004,Action-Adventure,Take-Two Interactive,20.81,PS2,Rockstar North
Super Mario World,1990,Platform,Nintendo,20.61,SNES,Unknown
Brain Age: Train Your Brain in Minutes a Day,2005,Other,Nintendo,20.15,DS,Nintendo
Grand Theft Auto V,2014,Action-Adventure,Rockstar Games,19.39,PS4,Unknown
Pokemon Diamond/Pokemon Pearl,2006,Role-Playing,Nintendo,18.25,DS,Unknown
Super Mario Land,1989,Platform,Nintendo,18.14,GB,Unknown
Super Mario Bros. 3,1988,Platform,Nintendo,17.28,NES,Unknown
Grand Theft Auto V,2013,Action-Adventure,Take-Two Interactive,16.27,X360,Rockstar North
Grand Theft Auto: Vice City,2002,Action-Adventure,Take-Two Interactive,16.15,PS2,Rockstar North
Pokemon Ruby/Pokemon Sapphire,2002,Role-Playing,Nintendo,15.85,GBA,Unknown
Brain Age 2: More Training in Minutes a Day,2005,Puzzle,Nintendo,15.29,DS,Nintendo
Pokemon Black/Pokemon White,2010,Role-Playing,Nintendo,15.14,DS,Unknown
Call of Duty: Black Ops 3,2015,Shooter,Activision,15.09,PS4,Unknown
Gran Turismo 3: A-Spec,2001,Racing,Sony Computer Entertainment,14.98,PS2,Polyphony Digital
Call of Duty: Modern Warfare 3,2011,Shooter,Activision,14.73,X360,"Infinity Ward, Sledgehammer Games"
Pokémon Yellow: Special Pikachu Edition,1998,Role-Playing,Nintendo,14.64,GB,Unknown
Call of Duty: Black Ops,2010,Shooter,Activision,14.61,X360,Treyarch
Pokemon X/Pokemon Y,2013,Role-Playing,Nintendo,14.6,3DS,Unknown
Red Dead Redemption 2,2018,Action-Adventure,Rockstar Games,13.94,PS4,Unknown
Call of Duty: Black Ops II,2012,Shooter,Activision,13.79,PS3,Treyarch
Call of Duty: Black Ops II,2012,Shooter,Activision,13.67,X360,Treyarch
Call of Duty: Modern Warfare 2,2009,Shooter,Activision,13.47,X360,Infinity Ward
